grupo_atividade_economica,id_parlamentar,nome_eleitoral,sg_partido,uf,cnpj,razao_social,data_entrada_sociedade
OUTRAS ATIVIDADES DE SERVIÇOS,178983,MARCIO ALVINO,PL,SP,06772972000180,ELEICOES 2004 CF - GUARAREMA - SP - COMITE FINANC MUN UNICO - PL,2005-09-12
OUTRAS ATIVIDADES DE SERVIÇOS,204422,OSSESIO SILVA,REPUBLICANOS,PE,06779713000181,ELEICOES 2004 CF - ILHEUS - BA - COMITE FINANC MUN P/VEREADOR - PSL,2005-09-12
OUTRAS ATIVIDADES DE SERVIÇOS,146307,NERI GELLER,PP,MT,06779900000165,ELEICOES 2004 CF - LUCAS DO RIO VERDE - MT - COMITE FINANC MUN UNICO - PSDB,2005-09-12
OUTRAS ATIVIDADES DE SERVIÇOS,204408,GUSTINHO RIBEIRO,SOLIDARIEDADE,SE,06785546000181,ELEICOES 2004 CF - LAGARTO - SE - COMITE FINANC MUN P/VEREADOR - PDT,2005-09-12
OUTRAS ATIVIDADES DE SERVIÇOS,74283,VICENTINHO,PT,SP,06815763000177,ELEICOES 2004 CF - SAO BERNARDO DO CAMPO - SP - COMITE FINANC MUN UNICO - PT,2005-09-12
OUTRAS ATIVIDADES DE SERVIÇOS,204567,RAIMUNDO COSTA,PL,BA,06852558000181,ELEICOES 2004 CF - VALENCA - BA - COMITE FINANC MUN UNICO - PP,2005-09-12
INFORMAÇÃO E COMUNICAÇÃO,204500,EDUARDO COSTA,PTB,PA,06858618000173,EDUCAR COMUNICACOES DE TRANSMISSORA DE TELEVISAO LTDA,2004-06-28
OUTRAS ATIVIDADES DE SERVIÇOS,74419,GONZAGA PATRIOTA,PSB,PE,06869337000116,ELEICOES 2004 CF - PETROLINA - PE - COMITE FINANC MUN UNICO - PSB,2005-09-12
"ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA",204552,EDUARDO BRAIDE,PMN,MA,06886057000116,BRAIDE E BATISTA - ADVOGADOS ASSOCIADOS,2004-07-21
EDUCAÇÃO,204528,ADRIANA VENTURA,NOVO,SP,06989814000187,PRISMA TREINAMENTO E DESENVOLVIMENTO LTDA,2004-07-28
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",73788,RICARDO BARROS,PP,PR,07034022000111,AKB MAGALHAES BARROS LOCACOES LTDA,2009-09-03
INFORMAÇÃO E COMUNICAÇÃO,204523,LUCAS GONZALEZ,NOVO,MG,07047545000100,EDITORA MOTIVAR LTDA,2009-08-27
ALOJAMENTO E ALIMENTAÇÃO,204478,VINICIUS FARAH,MDB,RJ,07052234000121,TRES RIOS LANCHONETE FOOD SERVICE LTDA,2004-10-15
OUTRAS ATIVIDADES DE SERVIÇOS,204516,ALEXIS FONTEYNE,NOVO,SP,07057297000170,ASSOCIACAO NACIONAL DE PISOS E REVESTIMENTOS DE ALTO DESEMPENHO - ANAPRE,2016-05-19
CONSTRUÇÃO,160655,RICARDO IZAR,PP,SP,07066686000162,BELMONTE EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,2004-09-21
"ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA",178835,AFONSO MOTTA,PDT,RS,07076337000121,MOTTA & CORREA ADVOGADOS ASSOCIADOS,2004-10-18
OUTRAS ATIVIDADES DE SERVIÇOS,204543,LUIZ FLÁVIO GOMES,PSB,SP,07078342000173,INSTITUTO PANAMERICANO DE POLITICA CRIMINAL - IPAN,2005-09-12
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",178989,RENATA ABREU,PODEMOS,SP,07089526000139,APOLLO EMPREENDIMENTOS E PARTICIPACOES LTDA.,2004-09-13
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",160666,FÉLIX MENDONÇA JÚNIOR,PDT,BA,07096014000108,AGROPECUARIA RIO UNA LTDA,2004-11-11
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",160666,FÉLIX MENDONÇA JÚNIOR,PDT,BA,07096014000280,AGROPECUARIA RIO UNA LTDA,2004-11-11
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",160666,FÉLIX MENDONÇA JÚNIOR,PDT,BA,07096014000361,AGROPECUARIA RIO UNA LTDA,2004-11-11
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",160666,FÉLIX MENDONÇA JÚNIOR,PDT,BA,07096014000442,AGROPECUARIA RIO UNA LTDA,2004-11-11
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",160666,FÉLIX MENDONÇA JÚNIOR,PDT,BA,07096014000523,AGROPECUARIA RIO UNA LTDA,2004-11-11
CONSTRUÇÃO,74537,CLAUDIO CAJADO,PP,BA,07098706000187,CCS PATRIMONIAL LTDA,2004-10-25
"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",204419,GLAUSTIN FOKUS,PSC,GO,07113342000167,SIGMA PRODUTOS ALIMENTICIOS LTDA,2013-06-25
EDUCAÇÃO,204465,HAROLDO CATHEDRAL,PSD,RR,07138772000133,FACULDADES CATHEDRAL DE ENSINO SUPERIOR DO ARAGUAIA,2005-08-15
EDUCAÇÃO,204543,LUIZ FLÁVIO GOMES,PSB,SP,07159521000135,REDE PRO-UNIVERSALIZACAO DO ENSINO TELEPRESENCIAL E VIRTUAL LTDA,2008-02-28
OUTRAS ATIVIDADES PROFISSIONAIS,93083,CACÁ LEÃO,PP,BA,07163194000195,INTERCOUNTRY IMPORTADORA COMERCIAL LTDA,2004-12-21
OUTRAS ATIVIDADES DE SERVIÇOS,74655,EDUARDO BARBOSA,PSDB,MG,07192864000100,INSTITUTO TEOTONIO VILELA DE MINAS GERAIS,2011-09-05
SAÚDE HUMANA E SERVIÇOS SOCIAIS,178959,HIRAN GONÇALVES,PP,RR,07223868000108,MEDTRAN - MEDICINA DE TRANSITO LTDA,2005-11-07
"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",204419,GLAUSTIN FOKUS,PSC,GO,07234927000135,FOKUS DISTRIBUICAO E LOGISTICA LTDA,2005-02-10
"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",204419,GLAUSTIN FOKUS,PSC,GO,07234927000216,FOKUS DISTRIBUICAO E LOGISTICA LTDA,2005-02-10
OUTRAS ATIVIDADES PROFISSIONAIS,92699,FERNANDO MONTEIRO,PP,PE,07241287000190,FENDY PARTICIPACOES E ASSESSORIA EMPRESARIAL LTDA,2006-12-20
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",74317,JÚLIO CESAR,PSD,PI,07249030000185,TROPICAL FRUTOS CANAA LTDA,1984-04-24
ATIVIDADES IMOBILIÁRIAS,160599,DIMAS FABIANO,PP,MG,07260578000126,T E A ADMINISTRACAO DE IMOVEIS LTDA,2005-02-28
INFORMAÇÃO E COMUNICAÇÃO,204543,LUIZ FLÁVIO GOMES,PSB,SP,07267942000180,PREMIER MAXIMA EDITORA S.A.,2008-03-24
EDUCAÇÃO,204543,LUIZ FLÁVIO GOMES,PSB,SP,07285724000178,CURSO PRIMA SAO PAULO S.A.,2008-03-24
"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",204500,EDUARDO COSTA,PTB,PA,07289329000163,PRODUTOS TIO PEDRO LTDA,2017-02-09
COMÉRCIO VAREJISTA,204500,EDUARDO COSTA,PTB,PA,07289329000244,PRODUTOS TIO PEDRO LTDA,2017-02-09
OUTRAS ATIVIDADES PROFISSIONAIS,73441,CELSO RUSSOMANNO,REPUBLICANOS,SP,07314275000149,NDC COMUNICACOES LTDA,2013-04-12
COMÉRCIO VAREJISTA,74052,BOSCO COSTA,PL,SE,07315079000199,AUTO POSTO BELA VISTA LTDA,2005-03-31
ATIVIDADES IMOBILIÁRIAS,178984,MIGUEL HADDAD,PSDB,SP,07317144000115,REMA-1 EMPREENDIMENTOS IMOBILIARIOS LTDA.,2005-10-13
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",204543,LUIZ FLÁVIO GOMES,PSB,SP,07317691000109,PRIMA FRANCHISING S/A,2008-03-03
OUTRAS ATIVIDADES ADMINISTRATIVAS,115746,GELSON AZEVEDO,PL,RJ,07319900000145,BAND DO VILAR COMERCIO E LOCACAO DE VEICULOS LTDA,2012-09-04
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",160541,ARTHUR LIRA,PP,AL,07330159000113,SUMMA FACTORING FOMENTO MERCANTIL LTDA,2005-04-19
INFORMAÇÃO E COMUNICAÇÃO,74305,ROBERTO PESSOA,PSDB,CE,07331796000104,RADIO JABURU LTDA,1983-12-06
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",141470,JOSÉ GUIMARÃES,PT,CE,07336829000109,COMITE DEMOCRATICO OPERARIO E POPULAR,2005-09-12
OUTRAS ATIVIDADES PROFISSIONAIS,204373,HÉLIO COSTA,REPUBLICANOS,SC,07370933000110,ABREU DA COSTA COMUNICACAO LTDA,2005-05-05
CONSTRUÇÃO,160655,RICARDO IZAR,PP,SP,07377845000140,IPIRANGA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,2005-05-11
AGÊNCIAS DE VIAGEM E TURISMO,204465,HAROLDO CATHEDRAL,PSD,RR,07398325000113,CATHEDRAL TURISMO LTDA,2005-03-03
VIGILÂNCIA E LOCAÇÃO DE MÃO-DE-OBRA TERCEIRIZADA,204465,HAROLDO CATHEDRAL,PSD,RR,07398330000126,CATHEDRAL ADMINISTRADORA DE SERVICOS LTDA,2005-03-07
CONSTRUÇÃO,204465,HAROLDO CATHEDRAL,PSD,RR,07398331000170,CTC CONSTRUCOES LTDA,2005-01-14
COMÉRCIO VAREJISTA,204465,HAROLDO CATHEDRAL,PSD,RR,07398346000139,FARMACIA CATHEDRAL LTDA,2005-01-14
"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",204541,EDUARDO BISMARCK,PDT,CE,07408395000105,DISALY DISTRIBUIDORA DE ALIMENTOS LTDA,2005-10-13
"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",178854,ELMAR NASCIMENTO,DEM,BA,07439157000167,N2 DISTRIBUIDORA DE BEBIDAS LTDA,2005-06-16
COMÉRCIO VAREJISTA,204371,FELIPE RIGONI,PSB,ES,07450569000106,LUZ DO DIA MATERIAIS ELETRICOS LTDA,2007-07-16
OUTRAS ATIVIDADES PROFISSIONAIS,160604,PEDRO UCZAI,PT,SC,07459045000178,"UCZAI E ASSOCIADOS, SERVICOS DE CONSULTORIA E PLANEJAMENTO EMPRESARIAL LTDA",2005-05-12
EDUCAÇÃO,204521,ABOU ANNI,PSL,SP,07477291000152,E.T.T. - ESCOLA DE TRANSITO TABOAO LTDA,2005-06-16
VIGILÂNCIA E LOCAÇÃO DE MÃO-DE-OBRA TERCEIRIZADA,141428,FÁBIO FARIA,PSD,RN,07477492000150,FDOIS PARTICIPACOES LTDA,2005-07-08
"TRANSPORTE, ARMAZENAGEM E CORREIO",204551,BOSCO SARAIVA,SOLIDARIEDADE,AM,07505066000182,LEAO LOCADORA DE VEICULOS LTDA,2005-07-18
CONSTRUÇÃO,204549,AJ ALBUQUERQUE,PP,CE,07540366000100,LITORANEA CONSTRUCOES E LOCACAO DE MAQUINAS LTDA,2005-08-08
VIGILÂNCIA E LOCAÇÃO DE MÃO-DE-OBRA TERCEIRIZADA,204419,GLAUSTIN FOKUS,PSC,GO,07551340000150,SANTOS & RIOS,2005-08-19
SAÚDE HUMANA E SERVIÇOS SOCIAIS,204450,DR. LUIZ ANTONIO TEIXEIRA JR.,PP,RJ,07575156000140,HC ORTOTRAUMA CLINICA DE FRATURAS LTDA,2005-08-05
SAÚDE HUMANA E SERVIÇOS SOCIAIS,204450,DR. LUIZ ANTONIO TEIXEIRA JR.,PP,RJ,07575156000220,HC ORTOTRAUMA CLINICA DE FRATURAS LTDA,2005-08-05
"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",133439,ANDRÉ FIGUEIREDO,PDT,CE,07597594000109,PROXIMA DISTRIBUIDORA LTDA,1997-10-02
AGÊNCIAS DE VIAGEM E TURISMO,205548,DAVID MIRANDA,PSOL,RJ,07607710000123,ENZULI VIAGENS E TURISMO LTDA.,2005-08-24
COMÉRCIO VAREJISTA,92776,STEFANO AGUIAR,PSD,MG,07609065000188,STAVO COMERCIO DE PRODUTOS MINERAIS LTDA,2005-09-26
MINERAÇÃO,204403,MARLON SANTOS,PDT,RS,07653148000174,MINERACAO SERRA DAS ENCANTADAS LTDA,2005-10-19
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",178835,AFONSO MOTTA,PDT,RS,07654993000164,RBS TV - PARTICIPACOES S.A.,2005-09-30
INFORMAÇÃO E COMUNICAÇÃO,160591,VINICIUS GURGEL,PL,AP,07656757000187,VOCE TELECOMUNICACOES LTDA,2017-09-01
INFORMAÇÃO E COMUNICAÇÃO,160591,VINICIUS GURGEL,PL,AP,07656757000268,VOCE TELECOMUNICACOES LTDA,2017-09-01
INFORMAÇÃO E COMUNICAÇÃO,160591,VINICIUS GURGEL,PL,AP,07656757000349,VOCE TELECOMUNICACOES LTDA,2017-09-01
INFORMAÇÃO E COMUNICAÇÃO,160591,VINICIUS GURGEL,PL,AP,07656757000420,VOCE TELECOMUNICACOES LTDA,2017-09-01
INFORMAÇÃO E COMUNICAÇÃO,160591,VINICIUS GURGEL,PL,AP,07656757000500,VOCE TELECOMUNICACOES LTDA,2017-09-01
INFORMAÇÃO E COMUNICAÇÃO,160591,VINICIUS GURGEL,PL,AP,07656757000691,VOCE TELECOMUNICACOES LTDA,2017-09-01
INFORMAÇÃO E COMUNICAÇÃO,160591,VINICIUS GURGEL,PL,AP,07656757000772,VOCE TELECOMUNICACOES LTDA,2017-09-01
INFORMAÇÃO E COMUNICAÇÃO,160591,VINICIUS GURGEL,PL,AP,07656757000853,VOCE TELECOMUNICACOES LTDA,2017-09-01
"ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA",73604,RUI FALCÃO,PT,SP,07714359000170,FALCAO E FIGUEIREDO ADVOGADOS ASSOCIADOS,2005-10-24
OUTRAS ATIVIDADES DE SERVIÇOS,204397,BOCA ABERTA,PROS,PR,07723127000188,ORGANIZACAO NAO GOVERNAMENTAL VIVA - LONDRINA,2005-11-28
OUTRAS ATIVIDADES DE SERVIÇOS,134812,EDMILSON RODRIGUES,PSOL,PA,07733616000110,LIVRE UNIVERSIDADE INTITUTO AMAZONICO RIOS DO AMANHA-IARA,2005-10-26
CONSTRUÇÃO,160666,FÉLIX MENDONÇA JÚNIOR,PDT,BA,07740169000127,CONSORCIO TOP MRM,2005-10-17
ATIVIDADES IMOBILIÁRIAS,204391,JOSÉ NELTO,PODEMOS,GO,07749755000132,LSJ EMPREENDIMENTOS IMOBILIARIOS LTDA,2005-12-19
EDUCAÇÃO,204543,LUIZ FLÁVIO GOMES,PSB,SP,07750347000109,LFP GOMES CURSOS LTDA,2005-11-30
EDUCAÇÃO,204543,LUIZ FLÁVIO GOMES,PSB,SP,07750347000281,LFP GOMES CURSOS LTDA,2005-11-30
EDUCAÇÃO,204543,LUIZ FLÁVIO GOMES,PSB,SP,07750347000362,LFP GOMES CURSOS LTDA,2005-11-30
OUTRAS ATIVIDADES PROFISSIONAIS,204541,EDUARDO BISMARCK,PDT,CE,07760481000182,IMA CONSTRUCOES E TERRAPLANAGENS LTDA,2007-03-28
CONSTRUÇÃO,204541,EDUARDO BISMARCK,PDT,CE,07760481000263,IMA CONSTRUCOES E TERRAPLANAGENS LTDA,2007-03-28
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",204351,DR. LUIZ OVANDO,PSL,MS,07767431000127,ACADEMIA COR ATIVO LTDA,2006-01-02
SAÚDE HUMANA E SERVIÇOS SOCIAIS,204518,DR. FREDERICO,PATRIOTA,MG,07822118000144,"PELOSO, MELO & CIA LTDA",2012-04-25
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",178896,NEWTON CARDOSO JR,MDB,MG,07844124000100,REFLA EMPREENDIMENTOS E PARTICIPACOES S/A,2007-08-28
CONSTRUÇÃO,204391,JOSÉ NELTO,PODEMOS,GO,07889608000168,JNFC EMPREENDIMENTOS IMOBILIARIOS LTDA,2006-03-10
OUTRAS ATIVIDADES DE SERVIÇOS,141431,FERNANDO COELHO FILHO,DEM,PE,07891147000168,"INSTITUTO DE APOIO AO DESENVOLVIMENTO SOCIAL, POLITICO E ECONOMICO DE PETROLINA",2005-11-30
INFORMAÇÃO E COMUNICAÇÃO,204546,JOICE HASSELMANN,PSL,SP,07936895000110,GD AGENCIA DE NOTICIAS E APRESENTADORES DE PROGRAMAS DE TELEVISAO LTDA,2006-03-21
"ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA",204575,GIL CUTRIM,PDT,MA,07952322000180,CUTRIM & LIMA ADVOGADOS ASSOCIADOS,2006-03-08
ALOJAMENTO E ALIMENTAÇÃO,178981,HERCULANO PASSOS,MDB,SP,07956403000158,BAR DO ALEMAO DE SAO PAULO - CONSULADO DE ITU LTDA,2013-03-13
ALOJAMENTO E ALIMENTAÇÃO,178981,HERCULANO PASSOS,MDB,SP,07956403000239,BAR DO ALEMAO DE SAO PAULO - CONSULADO DE ITU LTDA,2013-03-13
SAÚDE HUMANA E SERVIÇOS SOCIAIS,74305,ROBERTO PESSOA,PSDB,CE,07973951000196,CANTO DO GALETO LTDA,1967-11-08
OUTRAS ATIVIDADES DE SERVIÇOS,204561,BIRA DO PINDARÉ,PSB,MA,08013959000173,INSTITUTO TRABALHO VIVO,2006-04-28
CONSTRUÇÃO,178934,TONINHO WANDSCHEER,PROS,PR,08060153000136,PINHO BRAVO ADMINISTRADORA DE BENS LTDA,2006-05-30
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",204438,SERGIO TOLEDO,PL,AL,08088860000130,SANTA AMELIA EMPREENDIMENTOS E PARTICIPACOES LTDA,2011-07-08
CONSTRUÇÃO,160666,FÉLIX MENDONÇA JÚNIOR,PDT,BA,08181122000133,COSTA ANDRADE MRM INCORPORADORA 1 LTDA.,2006-07-24
CONSTRUÇÃO,73433,ARLINDO CHINAGLIA,PT,SP,08268373000150,DCT ADMINISTRACAO DE IMOVEIS LTDA,2006-08-08
CONSTRUÇÃO,141459,JOÃO MAIA,PL,RN,08271521000195,PIPA EMPREENDIMENTOS E INCORPORACOES LTDA,2005-09-23
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",204438,SERGIO TOLEDO,PL,AL,08282818000156,ALFA EMPREENDIMENTOS E PARTICIPACOES S.A,2006-08-18
COMÉRCIO VAREJISTA,204508,IGOR TIMO,PODEMOS,MG,08445706000179,MICROLIG - COMERCIO E SERVICOS DE MATERIAL DE INFORMATICA LTDA,2006-11-20
OUTRAS ATIVIDADES PROFISSIONAIS,204438,SERGIO TOLEDO,PL,AL,08501819000144,ESIMIN EMPRESA DE SERVICOS IMOB MICRO E INFOR S/C LTDA,1996-01-17
ALOJAMENTO E ALIMENTAÇÃO,141428,FÁBIO FARIA,PSD,RN,08512517000171,QUATRO POR QUATRO COMERCIO DE ALIMENTOS LTDA,2006-12-06
COMÉRCIO VAREJISTA,178909,HÉLIO LEITE,DEM,PA,08530540000199,N & D COMERCIO DE GAS LTDA,2011-02-22
COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,204457,JUNINHO DO PNEU,DEM,RJ,08546055000103,AVANTE REFORMA DE PNEUS LTDA,2006-12-11
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",5783,Zenaide Maia,PROS,RN,08570293000154,SOARTE SOCIEDADE DE PROMOCOES ARTISTICAS SOC CULT LTDA,1996-05-14
OUTRAS ATIVIDADES ADMINISTRATIVAS,204415,NEREU CRISPIM,PSL,RS,08578238000100,CRISPIM LOCACAO DE EQUIPAMENTOS LTDA,2015-08-10
INFORMAÇÃO E COMUNICAÇÃO,204465,HAROLDO CATHEDRAL,PSD,RR,08605463000199,E - EMPRESA SOLUCOES EM TECNOLOGIA LTDA.,2007-01-25
COMÉRCIO VAREJISTA,92699,FERNANDO MONTEIRO,PP,PE,08611589000176,BRASDIB DISTRIBUIDORA DE ALIMENTOS E BEBIDAS LTDA,2007-01-25
COMÉRCIO VAREJISTA,92699,FERNANDO MONTEIRO,PP,PE,08611589000257,BRASDIB DISTRIBUIDORA DE ALIMENTOS E BEBIDAS LTDA,2007-01-25
SAÚDE HUMANA E SERVIÇOS SOCIAIS,204372,JULIO CESAR RIBEIRO,REPUBLICANOS,DF,08628855000173,CLINICA CASA BRANCA LTDA,2008-01-10
SAÚDE HUMANA E SERVIÇOS SOCIAIS,204372,JULIO CESAR RIBEIRO,REPUBLICANOS,DF,08682075000101,CLINICA MONTE MORIA LTDA,2008-06-10
SAÚDE HUMANA E SERVIÇOS SOCIAIS,204372,JULIO CESAR RIBEIRO,REPUBLICANOS,DF,08682075000292,CLINICA MONTE MORIA LTDA,2008-06-10
OUTRAS ATIVIDADES DE SERVIÇOS,204463,WLADIMIR GAROTINHO,PSD,RJ,08706281000104,INSTITUTO BRASILEIRO DE COOPERACAO,2007-01-18
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",160666,FÉLIX MENDONÇA JÚNIOR,PDT,BA,08735575000164,NORDESTE FACTORING LTDA,2007-02-28
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",204390,PROFESSOR ALCIDES,PP,GO,08754414000118,"PROFESSOR ALCIDES ASSESSORIA, CONSULTORIA, REPRESENTACAO COMERCIAL E DE SERVICOS LTDA",2007-03-28
"ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA",204366,RODRIGO COELHO,PSB,SC,08771581000177,J. N. COELHO NETO E ADVOGADOS ASSOCIADOS,2007-03-12
CONSTRUÇÃO,204391,JOSÉ NELTO,PODEMOS,GO,08799197000182,GOIANIRA EMPREENDIMENTOS IMOBILIARIOS LTDA,2007-04-25
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",178896,NEWTON CARDOSO JR,MDB,MG,08824330000103,REMPLUS EMPREENDIMENTOS E PARTICIPACOES S.A,2008-03-24
OUTRAS ATIVIDADES DE SERVIÇOS,160601,PR. MARCO FELICIANO,PODEMOS,SP,08847334000107,ASSOCIACAO CULTURAL E EDUCACIONAL VIDA & PAZ,2006-07-24
OUTRAS ATIVIDADES DE SERVIÇOS,204562,EDILÁZIO JÚNIOR,PSD,MA,08887596000103,ASSOCIACAO DOS AMIGOS DE SANTO AMARO,2007-05-23
VIGILÂNCIA E LOCAÇÃO DE MÃO-DE-OBRA TERCEIRIZADA,74400,PAULO PIMENTA,PT,RS,08939560000118,IMEMBUY FUTEBOL E EVENTOS SOC. LTDA,2007-07-05
OUTRAS ATIVIDADES PROFISSIONAIS,107283,GLEISI HOFFMANN,PT,PR,08953794000110,GF CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA,2007-07-06
COMÉRCIO VAREJISTA,160601,PR. MARCO FELICIANO,PODEMOS,SP,08954263000141,MARCO FELICIANO EMPREENDIMENTOS CULTURAIS E EVENTOS LTDA,2007-04-27
OUTRAS ATIVIDADES DE SERVIÇOS,160511,ALESSANDRO MOLON,PSB,RJ,08986793000171,INSTITUTO CARIOCA DE IDEIAS,2007-07-19
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",178896,NEWTON CARDOSO JR,MDB,MG,08999166000175,BRATIL EMPREENDIMENTOS E PARTICIPACOES S/A,2007-09-06
EDUCAÇÃO,178884,HILDO ROCHA,MDB,MA,09009586000120,INSTITUTO DE DESENVOLVIMENTO GERENCIAL E PROFISSIONAL LTDA,2007-08-17
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",178989,RENATA ABREU,PODEMOS,SP,09016922000161,"APOLOSAT EDITORA, GRAVADORA E PRODUCOES MULTIMIDIA LTDA",2007-08-01
ATIVIDADES IMOBILIÁRIAS,204391,JOSÉ NELTO,PODEMOS,GO,09026239000105,TRINDADE EMPREENDIMENTOS IMOBILIARIOS LTDA,2007-08-20
SAÚDE HUMANA E SERVIÇOS SOCIAIS,204372,JULIO CESAR RIBEIRO,REPUBLICANOS,DF,09040929000119,CLINICA EUCALIPTOS LTDA,2008-09-23
CONSTRUÇÃO,204563,JOSIMAR MARANHÃOZINHO,PL,MA,09070823000168,CONSTRUTORA MADRY LTDA.,2007-09-21
EDUCAÇÃO,204465,HAROLDO CATHEDRAL,PSD,RR,09075190000180,SOCIEDADE MANTENEDORA DE ENSINO SUPERIOR DE RORAIMA S/S LTDA,2007-09-04
OUTRAS ATIVIDADES DE SERVIÇOS,73701,BENEDITA DA SILVA,PT,RJ,09088339000166,FUNDACAO BENEDITA DA SILVA DE ASSISTENCIA SOCIAL E DESENVOLVIMENTO ECONOMICO - FBS,2007-08-30
SAÚDE HUMANA E SERVIÇOS SOCIAIS,204518,DR. FREDERICO,PATRIOTA,MG,09116847000100,CLINICA ONCO CARE SAO JOAO DEL REI LTDA,2007-09-21
OUTRAS ATIVIDADES PROFISSIONAIS,160541,ARTHUR LIRA,PP,AL,09144093000100,D' LIRA - AGROPECUARIA E EVENTOS LTDA,2007-10-22
CONSTRUÇÃO,160666,FÉLIX MENDONÇA JÚNIOR,PDT,BA,09147464000108,FX EMPREENDIMENTOS LTDA,2007-10-22
COMÉRCIO VAREJISTA,204439,DR. LEONARDO,SOLIDARIEDADE,MT,09149611000170,FIGUEIROBA ALBUQUERQUE & ALBUQUERQUE LTDA,2007-10-24
ATIVIDADES IMOBILIÁRIAS,160666,FÉLIX MENDONÇA JÚNIOR,PDT,BA,09173161000151,PATRIMONIAL SOLIMOES LTDA.,2007-11-05
EDUCAÇÃO,204465,HAROLDO CATHEDRAL,PSD,RR,09185741000169,SOCIEDADE MANTENEDORA DE ENSINO SUPERIOR S/S LTDA,2007-11-08
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",204406,PEDRO WESTPHALEN,PP,RS,09195749000106,WESTPHALEN PARTICIPACOES SOCIETARIAS LTDA,2007-08-10
SAÚDE HUMANA E SERVIÇOS SOCIAIS,178921,SEBASTIÃO OLIVEIRA,PL,PE,09196509000126,CLINICA DE NEFROLOGIA SAO VICENTE LTDA,2007-11-12
SAÚDE HUMANA E SERVIÇOS SOCIAIS,204372,JULIO CESAR RIBEIRO,REPUBLICANOS,DF,09205412000132,CLINICA DEL REY LTDA,2007-11-06
EDUCAÇÃO,204543,LUIZ FLÁVIO GOMES,PSB,SP,09228640000128,LFG OURINHOS CURSOS LUIZ FLAVIO GOMES LTDA,2007-10-30
EDUCAÇÃO,204543,LUIZ FLÁVIO GOMES,PSB,SP,09228640000209,LFG OURINHOS CURSOS LUIZ FLAVIO GOMES LTDA,2007-10-30
EDUCAÇÃO,204465,HAROLDO CATHEDRAL,PSD,RR,09229175000140,FACULDADE PRISMA DE ENSINO SUPERIOR A DISTANCIA S/S LTDA,2007-10-09
