cnpj,razao_social
06332023000422,MISTER JAMES TELECOM COMERCIO E SERVICOS DE TELEFONIA CELULAR LTDA
06332023000503,MISTER JAMES TELECOM COMERCIO E SERVICOS DE TELEFONIA CELULAR LTDA
06332023000694,MISTER JAMES TELECOM COMERCIO E SERVICOS DE TELEFONIA CELULAR LTDA
06579213000104,ASSOCIACAO CULTURAL ICAPUIENSE
06634260000103,ELEICOES 2004 CF - CARIACICA - ES - COMITE FINANC MUN UNICO - PT
06770471000165,ELEICOES 2004 CF - TABIRA - PE - COMITE FINANC MUN UNICO - PT
06772972000180,ELEICOES 2004 CF - GUARAREMA - SP - COMITE FINANC MUN UNICO - PL
06779713000181,ELEICOES 2004 CF - ILHEUS - BA - COMITE FINANC MUN P/VEREADOR - PSL
06779900000165,ELEICOES 2004 CF - LUCAS DO RIO VERDE - MT - COMITE FINANC MUN UNICO - PSDB
06785546000181,ELEICOES 2004 CF - LAGARTO - SE - COMITE FINANC MUN P/VEREADOR - PDT
06815763000177,ELEICOES 2004 CF - SAO BERNARDO DO CAMPO - SP - COMITE FINANC MUN UNICO - PT
06852558000181,ELEICOES 2004 CF - VALENCA - BA - COMITE FINANC MUN UNICO - PP
06858618000173,EDUCAR COMUNICACOES DE TRANSMISSORA DE TELEVISAO LTDA
06869337000116,ELEICOES 2004 CF - PETROLINA - PE - COMITE FINANC MUN UNICO - PSB
06886057000116,BRAIDE E BATISTA - ADVOGADOS ASSOCIADOS
06989814000187,PRISMA TREINAMENTO E DESENVOLVIMENTO LTDA
07034022000111,AKB MAGALHAES BARROS LOCACOES LTDA
07047545000100,EDITORA MOTIVAR LTDA
07052234000121,TRES RIOS LANCHONETE FOOD SERVICE LTDA
07057297000170,ASSOCIACAO NACIONAL DE PISOS E REVESTIMENTOS DE ALTO DESEMPENHO - ANAPRE
07066686000162,BELMONTE EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.
07076337000121,MOTTA & CORREA ADVOGADOS ASSOCIADOS
07078342000173,INSTITUTO PANAMERICANO DE POLITICA CRIMINAL - IPAN
07089526000139,APOLLO EMPREENDIMENTOS E PARTICIPACOES LTDA.
07096014000108,AGROPECUARIA RIO UNA LTDA
07096014000280,AGROPECUARIA RIO UNA LTDA
07096014000361,AGROPECUARIA RIO UNA LTDA
07096014000442,AGROPECUARIA RIO UNA LTDA
07096014000523,AGROPECUARIA RIO UNA LTDA
07098706000187,CCS PATRIMONIAL LTDA
07113342000167,SIGMA PRODUTOS ALIMENTICIOS LTDA
07138772000133,FACULDADES CATHEDRAL DE ENSINO SUPERIOR DO ARAGUAIA
07159521000135,REDE PRO-UNIVERSALIZACAO DO ENSINO TELEPRESENCIAL E VIRTUAL LTDA
07163194000195,INTERCOUNTRY IMPORTADORA COMERCIAL LTDA
07192864000100,INSTITUTO TEOTONIO VILELA DE MINAS GERAIS
07223868000108,MEDTRAN - MEDICINA DE TRANSITO LTDA
07234927000135,FOKUS DISTRIBUICAO E LOGISTICA LTDA
07234927000216,FOKUS DISTRIBUICAO E LOGISTICA LTDA
07241287000190,FENDY PARTICIPACOES E ASSESSORIA EMPRESARIAL LTDA
07249030000185,TROPICAL FRUTOS CANAA LTDA
07260578000126,T E A ADMINISTRACAO DE IMOVEIS LTDA
07267942000180,PREMIER MAXIMA EDITORA S.A.
07285724000178,CURSO PRIMA SAO PAULO S.A.
07289329000163,PRODUTOS TIO PEDRO LTDA
07289329000244,PRODUTOS TIO PEDRO LTDA
07314275000149,NDC COMUNICACOES LTDA
07315079000199,AUTO POSTO BELA VISTA LTDA
07317144000115,REMA-1 EMPREENDIMENTOS IMOBILIARIOS LTDA.
07317691000109,PRIMA FRANCHISING S/A
07319900000145,BAND DO VILAR COMERCIO E LOCACAO DE VEICULOS LTDA
07330159000113,SUMMA FACTORING FOMENTO MERCANTIL LTDA
07331796000104,RADIO JABURU LTDA
07336829000109,COMITE DEMOCRATICO OPERARIO E POPULAR
07370933000110,ABREU DA COSTA COMUNICACAO LTDA
07377845000140,IPIRANGA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.
07398325000113,CATHEDRAL TURISMO LTDA
07398330000126,CATHEDRAL ADMINISTRADORA DE SERVICOS LTDA
07398331000170,CTC CONSTRUCOES LTDA
07398346000139,FARMACIA CATHEDRAL LTDA
07408395000105,DISALY DISTRIBUIDORA DE ALIMENTOS LTDA
07439157000167,N2 DISTRIBUIDORA DE BEBIDAS LTDA
07450569000106,LUZ DO DIA MATERIAIS ELETRICOS LTDA
07459045000178,"UCZAI E ASSOCIADOS, SERVICOS DE CONSULTORIA E PLANEJAMENTO EMPRESARIAL LTDA"
07477291000152,E.T.T. - ESCOLA DE TRANSITO TABOAO LTDA
07477492000150,FDOIS PARTICIPACOES LTDA
07505066000182,LEAO LOCADORA DE VEICULOS LTDA
07540366000100,LITORANEA CONSTRUCOES E LOCACAO DE MAQUINAS LTDA
07551340000150,SANTOS & RIOS
07575156000140,HC ORTOTRAUMA CLINICA DE FRATURAS LTDA
07575156000220,HC ORTOTRAUMA CLINICA DE FRATURAS LTDA
07597594000109,PROXIMA DISTRIBUIDORA LTDA
07607710000123,ENZULI VIAGENS E TURISMO LTDA.
07609065000188,STAVO COMERCIO DE PRODUTOS MINERAIS LTDA
07653148000174,MINERACAO SERRA DAS ENCANTADAS LTDA
07654993000164,RBS TV - PARTICIPACOES S.A.
07714359000170,FALCAO E FIGUEIREDO ADVOGADOS ASSOCIADOS
07723127000188,ORGANIZACAO NAO GOVERNAMENTAL VIVA - LONDRINA
07733616000110,LIVRE UNIVERSIDADE INTITUTO AMAZONICO RIOS DO AMANHA-IARA
07740169000127,CONSORCIO TOP MRM
07749755000132,LSJ EMPREENDIMENTOS IMOBILIARIOS LTDA
07750347000109,LFP GOMES CURSOS LTDA
07750347000281,LFP GOMES CURSOS LTDA
07750347000362,LFP GOMES CURSOS LTDA
07760481000182,IMA CONSTRUCOES E TERRAPLANAGENS LTDA
07760481000263,IMA CONSTRUCOES E TERRAPLANAGENS LTDA
07767431000127,ACADEMIA COR ATIVO LTDA
07783364000134,MERCOSUL BAHIA MATERIAIS REFRATARIOS LTDA
07822118000144,"PELOSO, MELO & CIA LTDA"
07844124000100,REFLA EMPREENDIMENTOS E PARTICIPACOES S/A
07889608000168,JNFC EMPREENDIMENTOS IMOBILIARIOS LTDA
07891147000168,"INSTITUTO DE APOIO AO DESENVOLVIMENTO SOCIAL, POLITICO E ECONOMICO DE PETROLINA"
07936895000110,GD AGENCIA DE NOTICIAS E APRESENTADORES DE PROGRAMAS DE TELEVISAO LTDA
07952322000180,CUTRIM & LIMA ADVOGADOS ASSOCIADOS
07956403000158,BAR DO ALEMAO DE SAO PAULO - CONSULADO DE ITU LTDA
07956403000239,BAR DO ALEMAO DE SAO PAULO - CONSULADO DE ITU LTDA
07973951000196,CANTO DO GALETO LTDA
08013959000173,INSTITUTO TRABALHO VIVO
08060153000136,PINHO BRAVO ADMINISTRADORA DE BENS LTDA
08088860000130,SANTA AMELIA EMPREENDIMENTOS E PARTICIPACOES LTDA
08181122000133,COSTA ANDRADE MRM INCORPORADORA 1 LTDA.
08268373000150,DCT ADMINISTRACAO DE IMOVEIS LTDA
08271521000195,PIPA EMPREENDIMENTOS E INCORPORACOES LTDA
08282818000156,ALFA EMPREENDIMENTOS E PARTICIPACOES S.A
08445706000179,MICROLIG - COMERCIO E SERVICOS DE MATERIAL DE INFORMATICA LTDA
08501819000144,ESIMIN EMPRESA DE SERVICOS IMOB MICRO E INFOR S/C LTDA
08512517000171,QUATRO POR QUATRO COMERCIO DE ALIMENTOS LTDA
08530540000199,N & D COMERCIO DE GAS LTDA
08546055000103,AVANTE REFORMA DE PNEUS LTDA
08570293000154,SOARTE SOCIEDADE DE PROMOCOES ARTISTICAS SOC CULT LTDA
08578238000100,CRISPIM LOCACAO DE EQUIPAMENTOS LTDA
08605463000199,E - EMPRESA SOLUCOES EM TECNOLOGIA LTDA.
08611589000176,BRASDIB DISTRIBUIDORA DE ALIMENTOS E BEBIDAS LTDA
08611589000257,BRASDIB DISTRIBUIDORA DE ALIMENTOS E BEBIDAS LTDA
08628855000173,CLINICA CASA BRANCA LTDA
08682075000101,CLINICA MONTE MORIA LTDA
08682075000292,CLINICA MONTE MORIA LTDA
08706281000104,INSTITUTO BRASILEIRO DE COOPERACAO
08735575000164,NORDESTE FACTORING LTDA
08754414000118,"PROFESSOR ALCIDES ASSESSORIA, CONSULTORIA, REPRESENTACAO COMERCIAL E DE SERVICOS LTDA"
08771581000177,J. N. COELHO NETO E ADVOGADOS ASSOCIADOS
08799197000182,GOIANIRA EMPREENDIMENTOS IMOBILIARIOS LTDA
08824330000103,REMPLUS EMPREENDIMENTOS E PARTICIPACOES S.A
08847334000107,ASSOCIACAO CULTURAL E EDUCACIONAL VIDA & PAZ
08887596000103,ASSOCIACAO DOS AMIGOS DE SANTO AMARO
08939560000118,IMEMBUY FUTEBOL E EVENTOS SOC. LTDA
08953794000110,GF CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA
08954263000141,MARCO FELICIANO EMPREENDIMENTOS CULTURAIS E EVENTOS LTDA
08986793000171,INSTITUTO CARIOCA DE IDEIAS
08999166000175,BRATIL EMPREENDIMENTOS E PARTICIPACOES S/A
09009586000120,INSTITUTO DE DESENVOLVIMENTO GERENCIAL E PROFISSIONAL LTDA
09016922000161,"APOLOSAT EDITORA, GRAVADORA E PRODUCOES MULTIMIDIA LTDA"
09026239000105,TRINDADE EMPREENDIMENTOS IMOBILIARIOS LTDA
09040929000119,CLINICA EUCALIPTOS LTDA
09070823000168,CONSTRUTORA MADRY LTDA.
09075190000180,SOCIEDADE MANTENEDORA DE ENSINO SUPERIOR DE RORAIMA S/S LTDA
09088339000166,FUNDACAO BENEDITA DA SILVA DE ASSISTENCIA SOCIAL E DESENVOLVIMENTO ECONOMICO - FBS
09116847000100,CLINICA ONCO CARE SAO JOAO DEL REI LTDA
09144093000100,D' LIRA - AGROPECUARIA E EVENTOS LTDA
09147464000108,FX EMPREENDIMENTOS LTDA
09149611000170,FIGUEIROBA ALBUQUERQUE & ALBUQUERQUE LTDA
09173161000151,PATRIMONIAL SOLIMOES LTDA.
09185741000169,SOCIEDADE MANTENEDORA DE ENSINO SUPERIOR S/S LTDA
09195749000106,WESTPHALEN PARTICIPACOES SOCIETARIAS LTDA
09196509000126,CLINICA DE NEFROLOGIA SAO VICENTE LTDA
09205412000132,CLINICA DEL REY LTDA
09228640000128,LFG OURINHOS CURSOS LUIZ FLAVIO GOMES LTDA
09228640000209,LFG OURINHOS CURSOS LUIZ FLAVIO GOMES LTDA
09229175000140,FACULDADE PRISMA DE ENSINO SUPERIOR A DISTANCIA S/S LTDA
09237305000196,MONTEIRO AGROINDUSTRIA LTDA
09301418000103,ASSOCIACAO DE RADIODIFUSAO COMUNITARIA DA CIDADE DE MOITA BONITA/SERGIPE
09310875000164,SERRA MORENA PARTICIPACOES S.A.
09337992000111,ASOCESP - ASSOCIACAO DOS SOCIOS DE CLUBES DE SAO PAULO
09342398000119,HIDROELETRICA BERGAMIN LTDA.
09343389000142,"LFG BUSINESS, EDICOES E PARTICIPACOES LTDA."
09343389000223,"LFG BUSINESS, EDICOES E PARTICIPACOES LTDA."
09343389000304,"LFG BUSINESS, EDICOES E PARTICIPACOES LTDA."
09343389000495,"LFG BUSINESS, EDICOES E PARTICIPACOES LTDA."
09343389000576,"LFG BUSINESS, EDICOES E PARTICIPACOES LTDA."
09343389000657,"LFG BUSINESS, EDICOES E PARTICIPACOES LTDA."
09343389000738,"LFG BUSINESS, EDICOES E PARTICIPACOES LTDA."
09343389000819,"LFG BUSINESS, EDICOES E PARTICIPACOES LTDA."
09343389000908,"LFG BUSINESS, EDICOES E PARTICIPACOES LTDA."
09349081000104,CESAR & GOMES CURSOS LTDA
09349081000295,CESAR & GOMES CURSOS LTDA
09349081000376,CESAR & GOMES CURSOS LTDA
09349081000457,CESAR & GOMES CURSOS LTDA
09349081000538,CESAR & GOMES CURSOS LTDA
09349081000619,CESAR & GOMES CURSOS LTDA
09364746000159,RICOL PARTICIPACOES E LOCACOES DE IMOVEIS LTDA
09483773000140,REFIL DISTRIBUICAO E LOGISTICA LTDA
09483773000221,REFIL DISTRIBUICAO E LOGISTICA LTDA
09483773000302,REFIL DISTRIBUICAO E LOGISTICA LTDA
09483773000493,REFIL DISTRIBUICAO E LOGISTICA LTDA
09503178000120,EMAPE INTEGRACAO AVICOLA INDUSTRIA E COMERCIO LTDA
09503178000200,EMAPE INTEGRACAO AVICOLA INDUSTRIA E COMERCIO LTDA
09503178000391,EMAPE INTEGRACAO AVICOLA INDUSTRIA E COMERCIO LTDA
09503178000472,EMAPE INTEGRACAO AVICOLA INDUSTRIA E COMERCIO LTDA
09503178000553,EMAPE INTEGRACAO AVICOLA INDUSTRIA E COMERCIO LTDA
09503178000634,EMAPE INTEGRACAO AVICOLA INDUSTRIA E COMERCIO LTDA
09503178000715,EMAPE INTEGRACAO AVICOLA INDUSTRIA E COMERCIO LTDA
09503178000804,EMAPE INTEGRACAO AVICOLA INDUSTRIA E COMERCIO LTDA
09568118000195,PRESERV- AIR FLORESTAMENTO E AGROPECUARIA LTDA
09574875000171,FAAS PARTICIPACOES LTDA
09579793000110,MB CONSULTORES E ASSOCIADOS LTDA
09580070000130,AGROPECUARIA LUA NOVA LTDA
09581722000151,COMUNICAR RADIODIFUSAO LTDA.
09602926000121,MARARU EMPREENDIMENTOS LTDA
09610923000130,CINESE - CENTRO DE INTELIGENCIA ESPIRITUAL E EMOCIONAL - CURSOS LTDA
09612147000107,TEMPO DE AVIVAMENTO EMPREENDIMENTOS LTDA.
09614390000164,REDE TAPAJOS DE COMUNICACAO LTDA
10194650000179,CCS AGROPECUARIA LTDA
10197403000126,LFG SALVADOR CURSOS E CONCURSOS LTDA.
10205235000173,ASSOCIACAO DOS MUNICIPIOS DO ESTADO DO ACRE
10242091000125,LABOFLOR CENTRO DE DIAGNOSTICO E IMAGEM LTDA
10254428000114,CONSORCIO FEIRA DE SANTANA
10256613000148,GMF - ADMINISTRACAO E REPRESENTACAO COMERCIAL DE CONSORCIOS DE BENS E DIREITOS LTDA
10281584000174,NAREIA PRODUCOES DE EVENTOS LTDA.
10292507000110,HORTIFRUTIGRANJEIRO CANTO VERDE LTDA
10305810000100,INSTITUTO FLORDELIS DE APOIO A CRIANCA E ADOLESCENTE
10306842000120,LFG ACADEMIA DE INTELIGENCIA LTDA.
10348550000150,GARANTIA ADMINSTRACAO E PARTICIPACOES LTDA
10372312000180,TOP MED SCIENTIFIC COMERCIO E IMPORTACAO LTDA
10377389000142,VASSELAI & VIEIRA ADVOGADOS ASSOCIADOS
10450332000121,BUG ' LOOP - INDUSTRIA & COMERCIO DE ARTIGOS DE VIAGENS LTDA
10460205000103,C H PRODUCOES ARTISTICAS LTDA
10481617000120,INDUSTRIA E COMERCIO DE TELHAS E CALHAS MAFERACO LTDA
10499070000190,ASSOCIACAO MINEIRA DE APOIO A INICIATIVAS VOLUNTARIAS SOCIAIS- AMAIVOS
10505234000144,NOSSO LOTE EMPREENDIMENTOS IMOBILIARIOS LTDA
10505234000225,NOSSO LOTE EMPREENDIMENTOS IMOBILIARIOS LTDA
10505234000306,NOSSO LOTE EMPREENDIMENTOS IMOBILIARIOS LTDA
10505234000497,NOSSO LOTE EMPREENDIMENTOS IMOBILIARIOS LTDA
10505234000578,NOSSO LOTE EMPREENDIMENTOS IMOBILIARIOS LTDA
10505234000659,NOSSO LOTE EMPREENDIMENTOS IMOBILIARIOS LTDA
10505234000730,NOSSO LOTE EMPREENDIMENTOS IMOBILIARIOS LTDA
10515329000149,ESTHETICS BEAUTY HAIR LTDA
10527643000141,CCS EMPREENDIMENTOS RURAIS LTDA
10532559000116,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE ORLANDIA - MINISTERIO CATEDRAL DO AVIVAMENTO
10532559000205,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE ORLANDIA - MINISTERIO CATEDRAL DO AVIVAMENTO
10532559000388,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE ORLANDIA - MINISTERIO CATEDRAL DO AVIVAMENTO
10532559000469,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE ORLANDIA - MINISTERIO CATEDRAL DO AVIVAMENTO
10532559000540,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE ORLANDIA - MINISTERIO CATEDRAL DO AVIVAMENTO
10532559000620,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE ORLANDIA - MINISTERIO CATEDRAL DO AVIVAMENTO
10532559000701,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE ORLANDIA - MINISTERIO CATEDRAL DO AVIVAMENTO
10542425000186,SOLAR LOCADORA DE VEICULOS LTDA
10543728000113,CLINICA PROFTALMO LTDA. EPP
10582056000155,TCHERINI TRANSPORTES E TURISMO LTDA
10619694000101,SIMULADOS PARA CONCURSOS LTDA.
10630104000133,FRIGOPEIXE MONTE CASTELO DA AMAZONIA IMP. E EXP. LTDA
10653669000136,"E-3 TERRA ASSESSORIA, CONSULTORIA E COMERCIO DE ARTIGOS ESPORTIVOS LTDA"
10687295000170,CUNHA LIMA E TARGINO ADVOGADOS ASSOCIADOS
10700690000145,BRAZILIAN AQUARIUM FISH COMERCIO E EXPORTACAO DE PEIXES ORNAMENTAIS LTDA
10700690000226,BRAZILIAN AQUARIUM FISH COMERCIO E EXPORTACAO DE PEIXES ORNAMENTAIS LTDA
10728820000158,TRI REDE DE ESTACIONAMENTOS LTDA
10728820000239,TRI REDE DE ESTACIONAMENTOS LTDA
10728820000310,TRI REDE DE ESTACIONAMENTOS LTDA
10741848000125,ATHOS 2013 LOCACOES E EQUIPAMENTOS EIRELI
10752269000188,RADIO SANTA RITA LTDA
10765915000141,AGROPECUARIA IPE LTDA
10772398000138,F.C. MERCANTIL LTDA
10778205000156,BALANGAN MOVEIS RUSTICOS LTDA
10778205000237,BALANGAN MOVEIS RUSTICOS LTDA
10783713000122,RMR - INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO DE PRODUTOS ALIMENTICIOS LTDA
10788264000105,INSTITUTO FRATERNA
10788471000160,CLINICA MEDICA JORGE TEIXEIRA LTDA
10827305000125,ROMA - URBANIZACAO E LOTEAMENTOS LTDA
10858205000166,ARX COMUNICACAO LTDA
10964161000159,EFICIENCIA ADMINISTRACAO DE IMOVEIS LTDA
10968204000174,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204000255,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204000336,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204000417,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204000506,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204000689,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204000760,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204000840,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204000921,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204001065,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204001146,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204001227,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204001308,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204001499,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204001570,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204001650,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204001731,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204001812,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204001901,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204002037,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204002118,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204002207,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204002380,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204002460,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204002541,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204002622,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204002703,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204002894,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204002975,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204003190,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10968204003351,PROVINCIA FRANCISCANA DE STO ANTONIO DO BRASIL
10970659000124,LAJ PARTICIPACOES SOCIETARIAS IMOBILIARIAS E INCORPORACOES LTDA
10973494000144,BRASIL TOP TRAVEL - AGENCIA DE VIAGENS LTDA
10982372000114,REPRESENTACOES TELECENTER LTDA
10991120000151,IRACEMA LOGISTICA E PARTICIPACOES LTDA
10991173000172,F3M PARTICIPACOES LTDA
10999105000150,ASSOCIACAO DAS EMPRESAS SEDIADAS NO POLO EMPRESARIAL GOIAS
11002500000189,INSTITUTO PAULISTA DE RENOVACAO - INPAR
11010336000151,MARANHAO MOTOS ZE DOCA LTDA
11010336000232,MARANHAO MOTOS ZE DOCA LTDA
11010336000313,MARANHAO MOTOS ZE DOCA LTDA
11010336000402,MARANHAO MOTOS ZE DOCA LTDA
11016943000129,RIGOR AGENCIAMENTO EM TRANSACOES COMERCIAIS LTDA
11017668000168,NALU CORPORELLE ASSESSORIA E SERVICOS LTDA.
11017877000101,NALU CORPORELLE CLINICA DE ESTETICA LTDA.
11028561000115,IZAR PARTICIPACOES SOCIETARIAS LTDA
11036843000164,INSTITUTO PARA INOVACAO RURAL DE GOIAS
11059695000101,MUSICAL COMUNICACOES RADIOFONICAS E TELEVISIVAS LTDA
11077821000142,EASY INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA
11080134000186,ROMAVILLAS SERVICOS ADMINISTRATIVOS LIMITADA
11127999000150,SERGIPE SAUDE AMBIENTAL LTDA
11193246000143,APOLISEG CORRETORA E ADMINISTRADORA DE SEGUROS S/S LTDA
11196777000190,MG PALESTRA LTDA
11248900000179,DORIA - AW EMPREENDIMENTOS IMOBILIARIOS LTDA.
11248900000250,DORIA - AW EMPREENDIMENTOS IMOBILIARIOS LTDA.
11279865000155,M H MED. SERVICOS MEDICOS HOSPITALARES LTDA
11289977000197,JR CONSULTORIA LIMITADA
11292373000108,GRACA FILMES PRODUTORA E DISTRIBUIDORA LTDA
11292373000280,GRACA FILMES PRODUTORA E DISTRIBUIDORA LTDA
11292373000361,GRACA FILMES PRODUTORA E DISTRIBUIDORA LTDA
11304456000161,TRES RIOS SERVICOS DE ALIMENTACAO LTDA.
11304469000130,TRES RIOS ENTRETENIMENTOS LTDA.
11307101000126,SISTEMA MONTEIRO DE COMUNICACAO LTDA
11327950000141,"ENGENHO CONSULTORIA, PROJETOS E ENGENHARIA LTDA"
11342178000137,RC4 INCORPORACOES LTDA
11348571000138,ICEBERG LANCHONETE E SORVETES LTDA
11377710000151,CONSIBRA TRANSPORTES COMERCIO E REPRESENTACOES LTDA
11377710000232,CONSIBRA TRANSPORTES COMERCIO E REPRESENTACOES LTDA
11377710000402,CONSIBRA TRANSPORTES COMERCIO E REPRESENTACOES LTDA
11411608000125,MANAUS EMBALAGENS LTDA
11411608000206,MANAUS EMBALAGENS LTDA
11422535000177,EPUR - EMPRESA PAULISTA DE URBANIZACAO LTDA.
11428569000179,IGREJA EVANGELICA CENTRO EVANGELISTICO MISSAO VIDA NA BARRA DA TIJUCA
11435149000110,ARATOR MADEIRA LTDA
11449902000126,GRAVADORA DO POVO DE DEUS LTDA
11449902000207,GRAVADORA DO POVO DE DEUS LTDA
11449902000398,GRAVADORA DO POVO DE DEUS LTDA
11451539000183,FIBRA REAL ESTATE EMPREENDIMENTOS LTDA
11483125000136,LAVANDERIA E DESINFECCAO CEARENSE LTDA.
11544863000146,BINARIA CLUBE DO BRASIL
11578867000145,LEVE BRASIL TRANSPORTES LTDA
11578867000226,LEVE BRASIL TRANSPORTES LTDA
11586819000107,ELLPA PARTICIPACOES PATRIMONIAIS E EMPRESARIAIS LTDA.
11609878000145,FORUM NACIONAL DOS SECRETARIOS E DIRIGENTES MUNICIPAIS DE ORGAOS DE CULTURA DAS CAPITAIS DOS ESTADOS DO BRASIL
11656893000144,SHAYA NATAL RESTAURANTE BAR E EVENTOS LTDA
11668744000103,NEW GLOBAL PRESENTES LTDA
11737023000108,LEAL & COSTA COMERCIO LTDA
11749649000126,COOPERATIVA CENTRAL DE COMUNICACAO LTDA
11756019000189,CIDADELOTE EMPREENDIMENTOS IMOBILIARIOS LTDA
11774828000113,SOCIEDADE SERAFIM COSTA CAVALCANTI ADMINISTRADORA DE IMOVEIS LTDA
11803872000104,MAGNIFICA - AUDITORES E CONSULTORES LTDA
11805718000171,CURSOS AROUCHE LTDA
11826652000104,JSM PARTICIPACOES SOCIETARIAS LTDA
11854918000114,T CAMP TRIBUNAL DE CONCILIACAO ARBITRAGEM E MEDIACAO DE CAMPINAS LTDA
11917773000153,EDITORA STAR LTDA
11950726000101,WP PUBLICIDADES LTDA
11971355000144,HECO TURISMO LTDA
12096499000161,JATOBA EMPREENDIMENTOS IMOBILIARIOS LTDA
12102099000111,NEW BEGINNINGS PRODUCOES ARTISTICAS LTDA.
12103630000170,ASSOCIACAO CULTURAL DE LITERATURA E COMUNICACAO
12103630000251,ASSOCIACAO CULTURAL DE LITERATURA E COMUNICACAO
12103630000332,ASSOCIACAO CULTURAL DE LITERATURA E COMUNICACAO
12111752000109,D.J. SERVICOS LTDA
12152753000100,BLUE RIVER INVESTIMENTOS E PARTICIPACOES LTDA
12239491000107,HOTEL ABROLHOS LTDA
12326760000172,ASSESSORAR SERVICOS EMPRESARIAIS LTDA
12381367000181,SHOPPING DO POVO EVANGELICO COMERCIO LTDA
12381367000262,SHOPPING DO POVO EVANGELICO COMERCIO LTDA
12381367000343,SHOPPING DO POVO EVANGELICO COMERCIO LTDA
12381367000424,SHOPPING DO POVO EVANGELICO COMERCIO LTDA
12482265000152,ZANCANARO ADVOGADOS ASSOCIADOS
12601713000190,NPX PRODUCOES ARTISTICAS LTDA
12608430000170,TEO CONSULTORIA E PARTICIPACAO LTDA
12664785000186,RADIO VALE DO SABUGY LTDA
12700890000123,BONIFACIO ANDRADA SOCIEDADE DE ADVOGADOS
12710232000112,IRMAOS PESSOA LTDA
12753315000199,RADIO AGRESTE LTDA
12780972000125,VITALIDADE SAUDE DO ADULTO E DO IDOSO LTDA
12835039000108,A.J.S.S. PARTICIPACOES SOCIETARIAS EM EMPREENDIMENTOS COMERCIAIS LTDA
12940639000136,GZ PARTICIPACOES LTDA
12942025000193,DIRETORIO REGIONAL DO PARTIDO LIBERAL - PARAIBA
12947899000133,JARDINS DI ROMA COMERCIAL LTDA
13038354000177,CCLL EMPREENDIMENTOS E PARTICIPACOES LTDA
13043619000125,ANANIAS CONSULTORIA E ASSESSORIA LTDA
13076534000143,EMPRESA SERGIPANA DE TURISMO SA
13081484000192,CLINICA SAO CAMILO LTDA
13087434000112,EGM EMPREENDIMENTOS IMOBILIARIOS LTDA
13140318000110,IG PATRIMONIAL LTDA
13171768000170,ROCHA BEZERRA ADVOGADOS ASSOCIADOS
13178915000133,FEDERACAO DAS ASSOCIACOES DE MUNICIPIOS DE SERGIPE
13181066000177,ARO EMPREENDIMENTOS LTDA
